GEOID,NAME,B19013_001E,B19013_001M,B01003_001E,B01003_001M,NUMPOINTS,inc_rate
"360290146031","Block Group 1, Census Tract 146.03, Erie County, New York",115585,27378,2855,523,0,"0"
"360290123002","Block Group 2, Census Tract 123, Erie County, New York",36789,23187,885,289,3,"339"
"360290014042","Block Group 2, Census Tract 14.04, Erie County, New York",25556,11649,251,131,22,"8765"
"360290045002","Block Group 2, Census Tract 45, Erie County, New York",48867,33066,1159,683,28,"2416"
"360290023003","Block Group 3, Census Tract 23, Erie County, New York",43750,16151,426,216,11,"2582"
"360290061002","Block Group 2, Census Tract 61, Erie County, New York",47473,38911,875,476,18,"2057"
"360290038003","Block Group 3, Census Tract 38, Erie County, New York",22550,11239,1049,473,47,"4480"
"360290038001","Block Group 1, Census Tract 38, Erie County, New York",,,1720,505,65,"3779"
"360290036004","Block Group 4, Census Tract 36, Erie County, New York",23784,8771,986,357,43,"4361"
"360290154012","Block Group 2, Census Tract 154.01, Erie County, New York",63264,13548,1338,418,0,"0"
"360290007005","Block Group 5, Census Tract 7, Erie County, New York",75481,27897,671,143,2,"298"
"360290099002","Block Group 2, Census Tract 99, Erie County, New York",46705,13724,493,121,7,"1420"
"360290079024","Block Group 4, Census Tract 79.02, Erie County, New York",91563,23522,978,196,0,"0"
"360290054002","Block Group 2, Census Tract 54, Erie County, New York",33859,14079,743,198,25,"3365"
"360290052021","Block Group 1, Census Tract 52.02, Erie County, New York",38250,20221,1388,188,6,"432"
"360290171002","Block Group 2, Census Tract 171, Erie County, New York",34119,8908,875,391,18,"2057"
"360290024004","Block Group 4, Census Tract 24, Erie County, New York",29111,5523,644,300,24,"3727"
"360290091142","Block Group 2, Census Tract 91.14, Erie County, New York",74185,24942,1314,343,1,"76"
"360290091151","Block Group 1, Census Tract 91.15, Erie County, New York",40039,10999,1374,239,0,"0"
"360290080033","Block Group 3, Census Tract 80.03, Erie County, New York",31382,9058,833,317,6,"720"
"360290146032","Block Group 2, Census Tract 146.03, Erie County, New York",141094,42359,875,196,0,"0"
"360290065011","Block Group 1, Census Tract 65.01, Erie County, New York",115645,31551,793,253,5,"631"
"360290050002","Block Group 2, Census Tract 50, Erie County, New York",38375,33148,458,191,7,"1528"
"360290097022","Block Group 2, Census Tract 97.02, Erie County, New York",73750,36548,1062,246,0,"0"
"360290155041","Block Group 1, Census Tract 155.04, Erie County, New York",51296,9684,1000,267,0,"0"
"360290082024","Block Group 4, Census Tract 82.02, Erie County, New York",41755,7143,795,248,3,"377"
"360290063015","Block Group 5, Census Tract 63.01, Erie County, New York",61977,15726,340,215,9,"2647"
"360290132021","Block Group 1, Census Tract 132.02, Erie County, New York",48194,19270,2090,399,0,"0"
"360290136001","Block Group 1, Census Tract 136, Erie County, New York",85694,58218,1337,236,0,"0"
"360290117003","Block Group 3, Census Tract 117, Erie County, New York",52162,5325,2319,397,3,"129"
"360290091101","Block Group 1, Census Tract 91.10, Erie County, New York",,,5580,372,0,"0"
"360290102011","Block Group 1, Census Tract 102.01, Erie County, New York",62654,13385,619,169,1,"162"
"360290168022","Block Group 2, Census Tract 168.02, Erie County, New York",29722,13761,715,245,33,"4615"
"360290166001","Block Group 1, Census Tract 166, Erie County, New York",,,597,296,25,"4188"
"360290112021","Block Group 1, Census Tract 112.02, Erie County, New York",90179,22311,706,259,0,"0"
"360290006004","Block Group 4, Census Tract 6, Erie County, New York",61105,14005,864,226,12,"1389"
"360290150022","Block Group 2, Census Tract 150.02, Erie County, New York",72083,18619,583,196,0,"0"
"360290079023","Block Group 3, Census Tract 79.02, Erie County, New York",73750,40262,2629,892,0,"0"
"360290091043","Block Group 3, Census Tract 91.04, Erie County, New York",91198,15753,1915,376,1,"52"
"360290162001","Block Group 1, Census Tract 162, Erie County, New York",50452,15054,1389,290,2,"144"
"360290159002","Block Group 2, Census Tract 159, Erie County, New York",52027,7423,2068,310,0,"0"
"360290125022","Block Group 2, Census Tract 125.02, Erie County, New York",72583,13687,838,269,2,"239"
"360290135022","Block Group 2, Census Tract 135.02, Erie County, New York",150417,91230,1632,341,0,"0"
"360290146014","Block Group 4, Census Tract 146.01, Erie County, New York",81250,24903,1270,835,0,"0"
"360290054003","Block Group 3, Census Tract 54, Erie County, New York",131645,12405,792,213,4,"505"
"360290104002","Block Group 2, Census Tract 104, Erie County, New York",50351,7824,736,214,8,"1087"
"360290090071","Block Group 1, Census Tract 90.07, Erie County, New York",138715,9932,2066,588,0,"0"
"360299900000","Block Group 0, Census Tract 9900, Erie County, New York",,,0,12,0,
